Radius,Mass,J,I
18.606706033416724,0.410669456656436,0.010672765311006145,0.202609708889953
17.84322326512571,0.448194118406843,0.01065533805917445,0.20272339337626571
17.096748703407805,0.48780702268433135,0.010629984791320919,0.203069816483046
16.36524068433301,0.5292105587027346,0.010611915671912744,0.2027546064507191
15.648807902508642,0.5721490992625894,0.010588870606888717,0.20243965623725582
14.946707360716783,0.6162020154632606,0.010560141610442332,0.20215301336931898
14.258176051883616,0.660812099847415,0.01052919264975714,0.2016411897698044
13.582537941929992,0.7052945260814152,0.010488132781078864,0.20077903997692156
12.918272016417815,0.7487431909242843,0.010423576863245314,0.199396534414285
12.267445808332072,0.7904543864359287,0.010348662285097458,0.19820754211962496
11.635901898298446,0.8301337517521541,0.010309871561430027,0.1982154061841664
11.016510002577007,0.8659539759790258,0.010243323885288293,0.1975773251956817
10.412081475227945,0.8971515371336012,0.010158396074673335,0.19658252469068618
9.824397899059328,0.922890345380127,0.010055922679991192,0.19531695131279775
9.255207402869324,0.9424410456976569,0.009934205009210734,0.193801434550058
8.706564541699786,0.955278378960403,0.009794133954599996,0.19210396230255716
8.18038708511973,0.9610681106655078,0.009631141926322946,0.1901288961356267
7.680368815815927,0.9606062821467626,0.009439352786809399,0.18870280474090673
7.205833976479831,0.9528261310511447,0.009228796572562264,0.18648740736992855
6.759689927832361,0.9386959953375061,0.008991425980582994,0.18391521337096572
6.343501508762516,0.918909176562397,0.00871664306709943,0.18104499488922565
5.958654876651116,0.8942707890756861,0.008427661913506676,0.17718844882787188
5.606432784766206,0.8659182542309181,0.008100536530628434,0.17289789975407305
5.2873050105371275,0.8348952182198663,0.007741269525001822,0.16806980026349275
5.000516342812641,0.802122535197173,0.007352652059788034,0.162690169333141
4.751144333244651,0.7689456984607193,0.006955081520776915,0.1568640052368441
4.537285956735768,0.7365092440244347,0.006543751919164183,0.15083366098537326
4.358530860695262,0.7052817667753967,0.006130471399172209,0.14455779324789703
4.216999218800541,0.6760419153415801,0.005720265211082786,0.13803366562696145
4.104638581303474,0.6489869332756718,0.005332857654053763,0.13149709812786733
